deep_field,ra_bin,dec_bin,n,median_resid,std_resid
EDF-Fornax,"(53.762, 53.953]","(-28.776, -28.749]",709,-0.00015458465000001143,2.090549471368142
EDF-Fornax,"(53.953, 54.143]","(-28.803, -28.776]",23,-0.19906431436999994,2.141893466874274
EDF-Fornax,"(53.953, 54.143]","(-28.776, -28.749]",749,-0.0002589225999996003,2.196633101450393
EDF-Fornax,"(54.143, 54.333]","(-28.803, -28.776]",29,-0.04953432080000031,2.1398676633215876
EDF-Fornax,"(54.143, 54.333]","(-28.776, -28.749]",722,-0.02798557281999997,2.0117201276135352
EDF-Fornax,"(54.333, 54.523]","(-28.91, -28.883]",533,-0.0012092888299999882,2.156038440440145
EDF-Fornax,"(54.333, 54.523]","(-28.883, -28.856]",55,0.014634966849999986,2.472145066200455
EDF-Fornax,"(54.523, 54.712]","(-28.91, -28.883]",426,-0.0002029985550003055,2.1067313598952953
EDF-Fornax,"(54.523, 54.712]","(-28.883, -28.856]",36,-0.17787928879000006,1.7796831471590346
EDF-Fornax,"(54.712, 54.902]","(-28.91, -28.883]",422,-0.0028089731950000085,2.130461067407802
EDF-Fornax,"(54.712, 54.902]","(-28.883, -28.856]",48,0.01560977100500005,2.356745735605106
EDF-North,"(264.005, 265.931]","(65.577, 65.868]",1623,-0.018813461070000037,2.3798283020456727
EDF-North,"(264.005, 265.931]","(67.025, 67.314]",2234,-0.0014314204449999979,2.299223319372492
EDF-North,"(265.931, 267.846]","(67.025, 67.314]",1967,-0.0018606185899999739,2.256221660901453
EDF-North,"(273.59, 275.505]","(65.868, 66.157]",932,-0.0003012865949998944,2.3686654531328366
EDF-North,"(273.59, 275.505]","(66.157, 66.446]",791,-0.0005261599999999977,2.4521771524149902
EDF-South,"(57.903, 59.032]","(-48.752, -48.395]",1542,-0.0012042671399999927,2.2106857373103352
EDF-South,"(59.032, 60.153]","(-46.979, -46.624]",5232,-0.0006036311350000045,2.1606079011097936
EDF-South,"(63.518, 64.639]","(-48.752, -48.395]",1905,-0.0010867119000002035,2.148921401482302
